Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,PC_02,PC_07a,PC_07b,SM_7,geo_lat,geo_lng
360059,METROHEALTH SYSTEM,2500 METROHEALTH DRIVE,CLEVELAND,OH,44109,CUYAHOGA,(216) 778-7089,Not Available,Not Available,Not Available,Yes,41.4456,-81.7007
360064,ST ELIZABETH YOUNGSTOWN HOSPITAL,1044 BELMONT AVENUE,YOUNGSTOWN,OH,44501,MAHONING,(330) 480-3022,Not Available,Not Available,Not Available,No,,
360065,FISHER-TITUS HOSPITAL,272 BENEDICT AVENUE,NORWALK,OH,44857,HURON,(419) 668-8101,Not Available,Not Available,Not Available,Yes,,
360066,MERCY HEALTH-ST RITA'S MEDICAL CENTER,730 WEST MARKET STREET,LIMA,OH,45801,ALLEN,(419) 227-3361,Not Available,Not Available,Not Available,Yes,40.7417,-84.1074
360068,PROMEDICA TOLEDO HOSPITAL,2142 NORTH COVE BOULEVARD,TOLEDO,OH,43606,LUCAS,(419) 291-7463,Not Available,Not Available,Not Available,Yes,41.6756,-83.6107
36006F,88th Medical Group (Wright-Patterson AFB),88 MDG 4881 Sugar Maple Dr,Wright-Patterson AFB,OH,45433,GREENE,(937) 257-9926,,,,Not Available,39.8189,-84.0524
360070,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,CANTON,OH,44708,STARK,(330) 489-1111,Not Available,Not Available,Not Available,Yes,40.7906,-81.4007
360071,VAN WERT COUNTY HOSPITAL,1250 S WASHINGTON STREET,VAN WERT,OH,45891,VAN WERT,(419) 238-8627,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360072,FAIRFIELD MEDICAL CENTER,401 NORTH EWING STREET,LANCASTER,OH,43130,FAIRFIELD,(740) 687-8000,Not Available,Not Available,Not Available,Yes,39.7014,-82.6099
360075,UH REGIONAL HOSPITALS,13207 RAVENNA ROAD,CHARDON,OH,44024,GEAUGA,(440) 285-6246,Not Available,Not Available,Not Available,Yes,41.5656,-81.1957
360076,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,OH,45005,WARREN,(513) 420-5102,Not Available,Not Available,Not Available,Yes,39.5317,-84.2174
360077,FAIRVIEW HOSPITAL,18101 LORAIN AVENUE,CLEVELAND,OH,44111,CUYAHOGA,(216) 476-7000,Not Available,Not Available,Not Available,Yes,41.4606,-81.7907
360078,UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,6847 N CHESTNUT,RAVENNA,OH,44266,PORTAGE,(330) 297-2300,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360079,KETTERING HEALTH MAIN CAMPUS,3535 SOUTHERN BOULEVARD,KETTERING,OH,45429,MONTGOMERY,(937) 298-4331,Not Available,Not Available,Not Available,Yes,39.6989,-84.1474
360080,EAST OHIO REGIONAL HOSPITAL,90 NORTH FOURTH STREET,MARTINS FERRY,OH,43935,BELMONT,(740) 633-1100,Not Available,Not Available,Not Available,Not Available,,
360082,EUCLID HOSPITAL,18901 LAKE SHORE BOULEVARD,EUCLID,OH,44119,CUYAHOGA,(216) 531-9000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.5856,-81.5507
360084,AULTMAN HOSPITAL,2600 SIXTH STREET SW,CANTON,OH,44710,STARK,(330) 363-9911,Not Available,Not Available,Not Available,Yes,40.8006,-81.3807
360085,OHIO STATE UNIVERSITY STATE HEALTH SYSTEM,410 WEST 10TH AVENUE,COLUMBUS,OH,43210,FRANKLIN,(614) 293-9700,Not Available,Not Available,Not Available,Yes,40.0006,-83.0307
360086,SPRINGFIELD REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,SPRINGFIELD,OH,45504,CLARK,(937) 523-5500,Not Available,Not Available,Not Available,Yes,39.9367,-83.8374
360087,LUTHERAN HOSPITAL,1730 WEST 25TH STREET,CLEVELAND,OH,44113,CUYAHOGA,(216) 696-4300,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4806,-81.7007
360089,MERCY HEALTH - TIFFIN HOSPITAL,45 ST LAWRENCE DRIVE,TIFFIN,OH,44883,SENECA,(419) 455-7000,Not Available,Not Available,Not Available,Yes,,
360091,MEDINA HOSPITAL,1000 EAST WASHINGTON STREET,MEDINA,OH,44256,MEDINA,(330) 725-1000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360092,MEMORIAL HOSPITAL,500 LONDON AVENUE,MARYSVILLE,OH,43040,UNION,(937) 644-6115,Not Available,Not Available,Not Available,Yes,40.2292,-83.3474
360095,BLANCHARD VALLEY HOSPITAL,1900 SOUTH MAIN STREET,FINDLAY,OH,45840,HANCOCK,(419) 423-4500,Not Available,Not Available,Not Available,Yes,41.0406,-83.6507
360096,EAST LIVERPOOL CITY HOSPITAL,425 WEST 5TH STREET,EAST LIVERPOOL,OH,43920,COLUMBIANA,(330) 385-7200,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360098,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,LAKE,(440) 953-9600,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.7006,-81.2357
360107,BELLEVUE HOSPITAL,1400 WEST MAIN STREET,BELLEVUE,OH,44811,SANDUSKY,(419) 483-4040,Not Available,Not Available,Not Available,Yes,,
360109,COSHOCTON REGIONAL MEDICAL CENTER,1460 ORANGE STREET,COSHOCTON,OH,43812,COSHOCTON,(740) 622-6411,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360112,MERCY ST VINCENT MEDICAL CENTER,2213 CHERRY STREET,TOLEDO,OH,43608,LUCAS,(419) 251-3232,Not Available,Not Available,Not Available,Yes,41.6856,-83.5407
360118,OHIOHEALTH MANSFIELD HOSPITAL,335 GLESSNER AVENUE,MANSFIELD,OH,44903,RICHLAND,(419) 526-8000,Not Available,Not Available,Not Available,Yes,40.7556,-82.5157
360121,COMMUNITY HOSPITALS AND WELLNESS CENTERS,433 WEST HIGH STREET,BRYAN,OH,43506,WILLIAMS,(419) 636-1131,Not Available,Not Available,Not Available,Yes,,
360123,UH ST JOHN MEDICAL CENTER,29000 CENTER RIDGE ROAD,WESTLAKE,OH,44145,CUYAHOGA,(440) 835-8000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4506,-81.9407
360125,ASHTABULA COUNTY MEDICAL CENTER,2420 LAKE AVENUE,ASHTABULA,OH,44004,ASHTABULA,(440) 997-2262,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.8956,-80.7807
360131,ALLIANCE COMMUNITY HOSPITAL,200 EAST STATE STREET,ALLIANCE,OH,44601,STARK,(330) 596-6000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),40.9106,-81.5707
360132,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,630 EATON AVENUE,HAMILTON,OH,45013,BUTLER,(513) 867-2123,Not Available,Not Available,Not Available,Yes,39.4517,-84.6524
360133,KETTERING HEALTH DAYTON,405 GRAND AVENUE,DAYTON,OH,45405,MONTGOMERY,(937) 723-3410,Not Available,Not Available,Not Available,Yes,39.7889,-84.2124
360134,GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,CINCINNATI,OH,45220,HAMILTON,(513) 862-2601,Not Available,Not Available,Not Available,Yes,39.1456,-84.5174
360137,UH CLEVELAND MEDICAL CENTER,11100 EUCLID AVENUE,CLEVELAND,OH,44106,CUYAHOGA,(216) 844-1000,Not Available,Not Available,Not Available,Yes,41.5056,-81.6007
360143,MARYMOUNT HOSPITAL,12300 MCCRACKEN ROAD,GARFIELD HEIGHTS,OH,44125,CUYAHOGA,(216) 587-8210,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4256,-81.6207
360144,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HEIGHTS,OH,44122,CUYAHOGA,(216) 491-6523,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4706,-81.4907
360145,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,630 EAST RIVER STREET,ELYRIA,OH,44035,LORAIN,(440) 329-7500,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.3656,-82.1057
360147,MARIETTA MEMORIAL HOSPITAL,401 MATTHEW STREET,MARIETTA,OH,45750,WASHINGTON,(740) 374-1400,Not Available,Not Available,Not Available,Yes,39.4156,-81.4507
360148,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,OH,44654,HOLMES,(330) 674-1015,Not Available,Not Available,Not Available,Yes,,
360150,SUMMA WESTERN RESERVE HOSPITAL,1900 23RD STREET,CUYAHOGA FALLS,OH,44223,SUMMIT,(330) 971-7000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360152,DOCTORS HOSPITAL,5100 WEST  BROAD STREET,COLUMBUS,OH,43228,FRANKLIN,(614) 544-2136,Not Available,Not Available,Not Available,Yes,39.9656,-83.1207
360155,SOUTHWEST GENERAL HEALTH CENTER,18697 BAGLEY ROAD,MIDDLEBURG HEIGHTS,OH,44130,CUYAHOGA,(440) 816-8000,Not Available,Not Available,Not Available,Yes,41.3806,-81.7907
360156,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,FREMONT,OH,43420,SANDUSKY,(419) 334-6617,Not Available,Not Available,Not Available,Yes,41.3506,-83.1357
360159,ADENA REGIONAL MEDICAL CENTER,272 HOSPITAL ROAD,CHILLICOTHE,OH,45601,ROSS,(740) 779-7500,Not Available,Not Available,Not Available,Yes,39.3317,-82.9824
360161,MH ST JOSEPH WARREN HOSPITAL,667 EASTLAND AVE SE,WARREN,OH,44484,TRUMBULL,(330) 841-4016,Not Available,Not Available,Not Available,Yes,,
360163,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 585-2000,Not Available,Not Available,Not Available,Yes,39.1256,-84.5074
360170,BERGER HOSPITAL,600 NORTH PICKAWAY STREET,CIRCLEVILLE,OH,43113,PICKAWAY,(740) 420-8008,Not Available,Not Available,Not Available,Yes,39.5514,-82.9535
360172,MERCY REGIONAL MEDICAL CENTER,3700 KOLBE ROAD,LORAIN,OH,44053,LORAIN,(440) 960-4000,Not Available,Not Available,Not Available,Yes,41.4256,-82.1757
360174,UPPER VALLEY MEDICAL CENTER,3130 N DIXIE HIGHWAY,TROY,OH,45373,MIAMI,(937) 440-7853,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),40.0317,-84.2024
360175,CLINTON MEMORIAL HOSPITAL,610 WEST MAIN STREET,WILMINGTON,OH,45177,CLINTON,(937) 382-9335,Not Available,Not Available,Not Available,Yes,39.4317,-83.8124
360179,BETHESDA NORTH,10500 MONTGOMERY ROAD,CINCINNATI,OH,45242,HAMILTON,(513) 865-5544,Not Available,Not Available,Not Available,Yes,39.2456,-84.3574
360180,CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,OH,44195,CUYAHOGA,(216) 952-9829,Not Available,Not Available,Not Available,Yes,41.5056,-81.6007
360185,SALEM REGIONAL MEDICAL CENTER,1995 EAST STATE STREET,SALEM,OH,44460,COLUMBIANA,(330) 332-7214,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360189,MADISON HEALTH,210 NORTH MAIN STREET,LONDON,OH,43140,MADISON,(740) 845-7000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.8467,-83.4374
360197,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,LOGAN,(937) 651-3257,Not Available,Not Available,Not Available,Yes,,
360203,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,CAMBRIDGE,OH,43725,GUERNSEY,(740) 439-8000,Not Available,Not Available,Not Available,Yes,,
360210,GRADY MEMORIAL HOSPITAL,561 WEST CENTRAL AVENUE,DELAWARE,OH,43015,DELAWARE,(740) 368-5145,Not Available,Not Available,Not Available,Yes,40.3128,-83.0685
360211,TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,380 SUMMIT AVENUE,STEUBENVILLE,OH,43952,JEFFERSON,(740) 264-7212,Not Available,Not Available,Not Available,Yes,,
360218,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,OH,43055,LICKING,(740) 348-4000,Not Available,Not Available,Not Available,Yes,40.0392,-82.3999
360230,HILLCREST HOSPITAL,6780 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,CUYAHOGA,(440) 312-4500,Not Available,Not Available,Not Available,Yes,41.4956,-81.4657
360234,MERCY HEALTH - WEST HOSPITAL,3300 MERCY HEALTH BLVD,CINCINNATI,OH,45211,HAMILTON,(513) 215-5000,Not Available,Not Available,Not Available,Yes,39.1556,-84.5974
360236,MERCY HEALTH - CLERMONT HOSPITAL,3000 HOSPITAL DRIVE,BATAVIA,OH,45103,CLERMONT,(513) 732-8278,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.0742,-84.1524
360239,KETTERING HEALTH MIAMISBURG,4000 MIAMISBURG-CENTERVILLE ROAD,MIAMISBURG,OH,45342,MONTGOMERY,(937) 384-8760,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.6317,-84.2674
360245,GLENBEIGH HEALTH SOURCES,2863 STATE ROUTE 45,ROCK CREEK,OH,44084,ASHTABULA,(440) 563-3400,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.6356,-80.9157
360259,BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,43616,LUCAS,(419) 690-7706,Not Available,Not Available,Not Available,Yes,,
360263,INSTITUTE FOR ORTHOPAEDIC SURGERY,"801 MEDICAL DRIVE, SUITE B",LIMA,OH,45804,ALLEN,(419) 224-7586,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),40.7617,-84.0874
360266,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,7333 SMITH'S MILL ROAD,NEW ALBANY,OH,43054,FRANKLIN,(614) 775-6600,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),40.0853,-82.8027
360270,MERCY HEALTH - DEFIANCE HOSPITAL,1404 EAST SECOND STREET,DEFIANCE,OH,43512,DEFIANCE,(419) 782-8444,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360276,HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,8401 MARKET STREET,BOARDMAN,OH,44512,MAHONING,(330) 729-2929,Not Available,Not Available,Not Available,Yes,41.0256,-80.6607
360348,DUBLIN METHODIST HOSPITAL,7500 HOSPITAL AVENUE,DUBLIN,OH,43016,FRANKLIN,(614) 544-8273,Not Available,Not Available,Not Available,Yes,40.0967,-83.1435
360351,CRYSTAL CLINIC ORTHOPAEDIC CENTER,444 NORTH MAIN STREET,AKRON,OH,44310,SUMMIT,(330) 670-4152,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360352,SURGICAL HOSPITAL AT SOUTHWOODS,7630 SOUTHERN BLVD,YOUNGSTOWN,OH,44512,MAHONING,(330) 729-8000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.0256,-80.6607
360354,WEST CHESTER HOSPITAL,7700 UNIVERSITY DRIVE,WEST CHESTER,OH,45069,BUTLER,(513) 298-7701,Not Available,Not Available,Not Available,Yes,39.3317,-84.4024
360355,OHIO VALLEY SURGICAL HOSPITAL,100 WEST MAIN STREET,SPRINGFIELD,OH,45502,CLARK,(937) 521-3900,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.9267,-83.8074
360358,DILEY RIDGE MEDICAL CENTER,7911 DILEY ROAD,CANAL WINCHESTER,OH,43110,FRANKLIN,(614) 838-7911,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.8342,-82.7899
360359,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,3999 RICHMOND ROAD,BEACHWOOD,OH,44122,CUYAHOGA,(216) 593-5511,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4706,-81.4907
360360,SOIN MEDICAL CENTER,3535 PENTAGON PARK BLVD,BEAVER CREEK,OH,45431,GREENE,(937) 702-4000,Not Available,Not Available,Not Available,Yes,39.7589,-84.0774
360361,KINGS DAUGHTERS MEDICAL CENTER OHIO,1901 ARGONNE ROAD,PORTSMOUTH,OH,45662,SCIOTO,(740) 991-4000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),38.7317,-82.9749
360364,CLEVELAND CLINIC AVON HOSPITAL,33300 CLEVELAND CLINIC BLVD,AVON,OH,44011,LORAIN,(440) 695-5000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4406,-81.9157
360365,AVITA ONTARIO,715 RICHLAND MALL,ONTARIO,OH,44906,RICHLAND,(419) 462-4534,Not Available,Not Available,Not Available,Yes,40.7856,-82.5557
360367,LAKE HEALTH BEACHWOOD MEDICAL CENTER,25501 CHAGRIN BOULEVARD,BEACHWOOD,OH,44122,CUYAHOGA,(216) 545-4800,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.4706,-81.4907
360368,KETTERING HEALTH TROY,600 WEST MAIN STREET,TROY,OH,45373,MIAMI,(937) 980-7000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),40.0317,-84.2024
360374,MERCY HEALTH KINGS MILLS HOSPITAL LLC,5440 KINGS ISLAND DRIVE,MASON,OH,45040,WARREN,(513) 637-9999,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.3467,-84.3024
361300,PAULDING COUNTY HOSPITAL,1035 WEST WAYNE ST.,PAULDING,OH,45879,PAULDING,(419) 399-4080,Not Available,Not Available,Not Available,Not Available,,
361302,TWIN CITY MEDICAL CENTER,819 NORTH FIRST STREET,DENNISON,OH,44621,TUSCARAWAS,(740) 922-2800,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361303,LODI COMMUNITY HOSPITAL,225 ELYRIA STREET,LODI,OH,44254,MEDINA,(330) 948-1222,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361304,GREENFIELD AREA MEDICAL CENTER,550 MIRABEAU STREET,GREENFIELD,OH,45123,HIGHLAND,(937) 981-9400,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.3417,-83.4274
361306,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,44074,LORAIN,(440) 334-7039,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.2906,-82.2207
361307,UHHS MEMORIAL HOSPITAL OF GENEVA,870 WEST MAIN STREET,GENEVA,OH,44041,ASHTABULA,(440) 415-0151,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.7956,-80.8207
361308,UNIVERSITY HOSPITALS CONNEAUT MEDICAL CENTER,158 WEST MAIN ROAD,CONNEAUT,OH,44030,ASHTABULA,(440) 593-1131,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.8906,-80.5507
361309,"HENRY COUNTY HOSPITAL, INC",1600 EAST RIVERVIEW AVENUE,NAPOLEON,OH,43545,HENRY,(419) 592-4015,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361310,MERCY HEALTH - WILLARD HOSPITAL,1100 NEAL ZICK ROAD,WILLARD,OH,44890,HURON,(419) 964-5000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361311,HARRISON COMMUNITY HOSPITAL,951 EAST MARKET STREET,CADIZ,OH,43907,HARRISON,(740) 942-8625,Not Available,Not Available,Not Available,Not Available,,
361312,MERCY HEALTH - URBANA HOSPITAL,904 SCIOTO STREET,URBANA,OH,43078,CHAMPAIGN,(937) 653-5231,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),40.1117,-83.9324
361313,OHIOHEALTH MORROW COUNTY HOSPITAL,651 WEST MARION ROAD,MOUNT GILEAD,OH,43338,MORROW,(419) 946-5015,Not Available,Not Available,Not Available,Not Available,,
361314,MAGRUDER HOSPITAL,615 FULTON ST,PORT CLINTON,OH,43452,OTTAWA,(419) 734-3131,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
361315,HARDIN MEMORIAL HOSPITAL,921 EAST FRANKLIN STREET,KENTON,OH,43326,HARDIN,(419) 673-0761,Not Available,Not Available,Not Available,Not Available,,
361316,BUCYRUS COMMUNITY HOSPITAL,629 NORTH SANDUSKY AVENUE,BUCYRUS,OH,44820,CRAWFORD,(419) 563-9376,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
