Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Score,Sample,Footnote,Start Date,End Date
360003,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",3188 BELLEVUE AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 584-1000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360003,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",3188 BELLEVUE AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 584-1000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,SCIOTO,(740) 356-5788,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,SCIOTO,(740) 356-5788,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,SCIOTO,(740) 356-5788,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,SCIOTO,(740) 356-5788,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,ALLEN,(419) 998-4731,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,ALLEN,(419) 998-4731,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,ALLEN,(419) 998-4731,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,ALLEN,(419) 998-4731,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,(330) 343-3311,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,(330) 343-3311,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,(330) 343-3311,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,(330) 343-3311,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,MARION,(740) 383-8400,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,MARION,(740) 383-8400,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,MARION,(740) 383-8400,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,MARION,(740) 383-8400,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360012,MOUNT CARMEL ST ANN'S,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,FRANKLIN,(614) 546-4034,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360012,MOUNT CARMEL ST ANN'S,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,FRANKLIN,(614) 546-4034,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360012,MOUNT CARMEL ST ANN'S,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,FRANKLIN,(614) 546-4034,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360012,MOUNT CARMEL ST ANN'S,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,FRANKLIN,(614) 546-4034,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,SHELBY,(937) 498-5405,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,SHELBY,(937) 498-5405,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,SHELBY,(937) 498-5405,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,SHELBY,(937) 498-5405,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360014,OHIOHEALTH O'BLENESS HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,ATHENS,(740) 593-5551,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360014,OHIOHEALTH O'BLENESS HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,ATHENS,(740) 593-5551,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360014,OHIOHEALTH O'BLENESS HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,ATHENS,(740) 593-5551,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360014,OHIOHEALTH O'BLENESS HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,ATHENS,(740) 593-5551,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360016,THE JEWISH HOSPITAL-MERCY HEALTH,4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,HAMILTON,(513) 686-3000,PC_02,Cesarean Birth,Not Available,Not Available,5,01/01/2024,12/31/2024
360016,THE JEWISH HOSPITAL-MERCY HEALTH,4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,HAMILTON,(513) 686-3000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,5,01/01/2024,12/31/2024
360016,THE JEWISH HOSPITAL-MERCY HEALTH,4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,HAMILTON,(513) 686-3000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,5,01/01/2024,12/31/2024
360016,THE JEWISH HOSPITAL-MERCY HEALTH,4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,HAMILTON,(513) 686-3000,SM_7,Maternal Morbidity Structural Measure,Not Applicable (our hospital does not provide inpatient labor/delivery care),Not Applicable,,01/01/2024,12/31/2024
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,FRANKLIN,(614) 566-9164,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,FRANKLIN,(614) 566-9164,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,FRANKLIN,(614) 566-9164,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,FRANKLIN,(614) 566-9164,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360020,SUMMA HEALTH SYSTEM,525 EAST MARKET STREET,AKRON,OH,44309,SUMMIT,(330) 375-3000,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360020,SUMMA HEALTH SYSTEM,525 EAST MARKET STREET,AKRON,OH,44309,SUMMIT,(330) 375-3000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360020,SUMMA HEALTH SYSTEM,525 EAST MARKET STREET,AKRON,OH,44309,SUMMIT,(330) 375-3000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360020,SUMMA HEALTH SYSTEM,525 EAST MARKET STREET,AKRON,OH,44309,SUMMIT,(330) 375-3000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,ERIE,(419) 557-7400,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,ERIE,(419) 557-7400,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,ERIE,(419) 557-7400,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,ERIE,(419) 557-7400,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360026,KETTERING HEALTH GREENE MEMORIAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,GREENE,(937) 352-2000,PC_02,Cesarean Birth,Not Available,Not Available,5,01/01/2024,12/31/2024
360026,KETTERING HEALTH GREENE MEMORIAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,GREENE,(937) 352-2000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,5,01/01/2024,12/31/2024
360026,KETTERING HEALTH GREENE MEMORIAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,GREENE,(937) 352-2000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,5,01/01/2024,12/31/2024
360026,KETTERING HEALTH GREENE MEMORIAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,GREENE,(937) 352-2000,SM_7,Maternal Morbidity Structural Measure,Not Applicable (our hospital does not provide inpatient labor/delivery care),Not Applicable,,01/01/2024,12/31/2024
360027,AKRON GENERAL MEDICAL CENTER,1 AKRON GENERAL AVENUE,AKRON,OH,44307,SUMMIT,(330) 344-6000,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360027,AKRON GENERAL MEDICAL CENTER,1 AKRON GENERAL AVENUE,AKRON,OH,44307,SUMMIT,(330) 344-6000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360027,AKRON GENERAL MEDICAL CENTER,1 AKRON GENERAL AVENUE,AKRON,OH,44307,SUMMIT,(330) 344-6000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360027,AKRON GENERAL MEDICAL CENTER,1 AKRON GENERAL AVENUE,AKRON,OH,44307,SUMMIT,(330) 344-6000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,BOWLING GREEN,OH,43402,WOOD,(419) 354-8900,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,BOWLING GREEN,OH,43402,WOOD,(419) 354-8900,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,BOWLING GREEN,OH,43402,WOOD,(419) 354-8900,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,BOWLING GREEN,OH,43402,WOOD,(419) 354-8900,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360035,MOUNT CARMEL EAST & WEST,6001 EAST BROAD STREET,COLUMBUS,OH,43213,FRANKLIN,(614) 234-5000,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360035,MOUNT CARMEL EAST & WEST,6001 EAST BROAD STREET,COLUMBUS,OH,43213,FRANKLIN,(614) 234-5000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360035,MOUNT CARMEL EAST & WEST,6001 EAST BROAD STREET,COLUMBUS,OH,43213,FRANKLIN,(614) 234-5000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360035,MOUNT CARMEL EAST & WEST,6001 EAST BROAD STREET,COLUMBUS,OH,43213,FRANKLIN,(614) 234-5000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,WAYNE,(330) 263-8348,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,WAYNE,(330) 263-8348,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,WAYNE,(330) 263-8348,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,WAYNE,(330) 263-8348,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360039,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,MUSKINGUM,(740) 454-5000,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360039,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,MUSKINGUM,(740) 454-5000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360039,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,MUSKINGUM,(740) 454-5000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360039,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,MUSKINGUM,(740) 454-5000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,KNOX,(740) 393-9000,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,KNOX,(740) 393-9000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,KNOX,(740) 393-9000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,KNOX,(740) 393-9000,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,(440) 743-3000,PC_02,Cesarean Birth,Not Available,Not Available,5,01/01/2024,12/31/2024
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,(440) 743-3000,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,5,01/01/2024,12/31/2024
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,(440) 743-3000,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,5,01/01/2024,12/31/2024
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,(440) 743-3000,SM_7,Maternal Morbidity Structural Measure,Not Applicable (our hospital does not provide inpatient labor/delivery care),Not Applicable,,01/01/2024,12/31/2024
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,BUTLER,(513) 523-2111,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,BUTLER,(513) 523-2111,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,BUTLER,(513) 523-2111,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,BUTLER,(513) 523-2111,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43614,LUCAS,(419) 383-3407,PC_02,Cesarean Birth,Not Available,Not Available,5,01/01/2024,12/31/2024
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43614,LUCAS,(419) 383-3407,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,5,01/01/2024,12/31/2024
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43614,LUCAS,(419) 383-3407,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,5,01/01/2024,12/31/2024
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43614,LUCAS,(419) 383-3407,SM_7,Maternal Morbidity Structural Measure,Not Applicable (our hospital does not provide inpatient labor/delivery care),Not Applicable,,01/01/2024,12/31/2024
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,(937) 208-3023,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,(937) 208-3023,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,(937) 208-3023,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,(937) 208-3023,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,GALLIA,(740) 446-5030,PC_02,Cesarean Birth,Not Available,Not Available,4,01/01/2024,12/31/2024
360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,GALLIA,(740) 446-5030,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,4,01/01/2024,12/31/2024
360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,GALLIA,(740) 446-5030,PC_07b,Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases),Not Available,Not Available,4,01/01/2024,12/31/2024
360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,GALLIA,(740) 446-5030,SM_7,Maternal Morbidity Structural Measure,Yes,Not Applicable,,01/01/2024,12/31/2024
360055,TRUMBULL REGIONAL MEDICAL CENTER,1350 EAST MARKET STREET,WARREN,OH,44482,TRUMBULL,(330) 841-9011,PC_02,Cesarean Birth,Not Available,Not Available,5,01/01/2024,12/31/2024
360055,TRUMBULL REGIONAL MEDICAL CENTER,1350 EAST MARKET STREET,WARREN,OH,44482,TRUMBULL,(330) 841-9011,PC_07a,Risk Adjusted Severe Obstetric Complications (All),Not Available,Not Available,5,01/01/2024,12/31/2024
